,RMSE_abs,RMSE_rel,avr_score__1,avr_score__2,log_score,avr_score,logp,AIC,AICc,bias,coverage__1,coverage__2
2018-09-16,7.280109889280518,0.7685861568079579,0.3199,0.004699999999999999,-3.2499698011463947,0.03877537878602863,-20.920117166475883,45.840234332951766,33.840234332951766,-0.7129843661361405,Yes,No
2018-10-07,21.02379604162864,0.6454316618275295,0.0011999999999999995,0.0,-inf,0.0,-42.437587746470236,88.87517549294047,76.87517549294047,-0.627636252551653,No,No
2018-10-28,17.67766952966369,0.4670184844984416,0.2272,0.0,-inf,0.0,-28.475297235275157,60.950594470550314,48.950594470550314,-0.3912417004190024,Yes,No
2018-11-25,21.633307652783937,0.33146661006811523,0.3017,0.00010000000000000009,-5.204331252396652,0.0054927224579437856,-24.569486050806972,53.138972101613945,41.138972101613945,-0.18086391800879642,Yes,No
2018-12-16,14.866068747318506,0.2792976776795757,0.004900000000000002,0.0916,-3.8544220405838043,0.02118584433059018,-15.130509626133083,34.261019252266166,22.261019252266166,-0.27929714877343603,No,No
2019-01-06,23.16246964380094,0.5066553574190088,0.2186,0.0,-inf,0.0,-38.98011300381335,81.9602260076267,69.9602260076267,-0.4282889288488434,Yes,No
