,RMSE_abs,RMSE_rel,avr_score__1,avr_score__2,log_score,avr_score,logp,AIC,AICc,bias,coverage__1,coverage__2
2018-09-16,3.5355339059327378,0.21316875360356616,0.5349,0.3734,-0.8053902566597237,0.44691348155990995,-5.915917484067412,19.831834968134824,6.498501634801491,-0.21298436613614058,Yes,Yes
2018-10-07,34.90701935141412,0.34544206109369974,0.16460000000000002,0.025200000000000004,-2.7425741376019634,0.06440434767932986,-27.97063550585412,63.94127101170824,50.6079376783749,0.2778311427787308,Yes,No
2018-10-28,5.70087712549569,0.07152204396787061,0.3241,0.2147,-1.3326083714660184,0.26378830527527186,-6.092742837725076,20.185485675450153,6.852152342116819,0.04133478694672309,Yes,Yes
2018-11-25,16.263455967290593,0.20639500566966448,0.0056000000000000025,0.2815,-3.226305756321713,0.03970390409015214,-12.21625775418886,32.43251550837772,19.099182175044383,0.1459433081120557,No,Yes
2018-12-16,9.899494936611665,0.16953616151349382,0.34430000000000005,0.06160000000000001,-1.9266676585401608,0.14563268863823126,-8.671702069536302,25.343404139072604,12.01007080573927,0.11988016946252926,Yes,No
2019-01-06,14.916433890176299,0.23004167394817127,0.4055,0.007700000000000002,-2.884584677774584,0.05587799208990962,-14.115612143895525,36.23122428779105,22.897890954457715,-0.14354710886034436,Yes,No
