,RMSE_abs,RMSE_rel,avr_score__1,avr_score__2,log_score,avr_score,logp,AIC,AICc,bias,coverage__1,coverage__2
2018-09-16,4.743416490252569,0.31624453973259076,0.5009,0.19189999999999996,-1.1710648372935244,0.31003662686850403,-7.970568565149055,19.94113713029811,7.9411371302981095,-0.30102999566398114,Yes,Yes
2018-10-07,9.924716620639604,0.16999901367272136,0.09330000000000001,0.24599999999999997,-1.8871794570893066,0.15149851484420565,-9.419690306364501,22.839380612729002,10.839380612729002,-0.11101578598231343,Yes,Yes
2018-10-28,6.4031242374328485,0.10600227413757654,0.3302,0.1627,-1.4619520061266271,0.23178339025909514,-6.8408378136363055,17.68167562727261,5.681675627272611,-0.08298617615542336,Yes,Yes
2018-11-25,14.142135623730951,0.18613980361838273,0.028300000000000002,0.21499999999999997,-2.5510053625937097,0.07800320506235625,-10.799248981191994,25.598497962383988,13.598497962383988,0.13162071738729067,No,Yes
2018-12-16,9.924716620639604,0.13332811778641784,0.05779999999999999,0.4105,-1.8705729266967297,0.1540353855450104,-8.419598981070465,20.83919796214093,8.83919796214093,-0.10528386960333365,Yes,Yes
2019-01-06,13.435028842544403,0.19787725421361507,0.399,0.0358,-2.1243006238338777,0.11951652605393116,-12.030050807214401,28.060101614428802,16.060101614428802,-0.13992034829702155,Yes,Yes
