,epicurve,date,p2.5,p25,p50,p75,p97.5
0,2018-09-16,2018-09-16,1.0,4.0,5.0,8.0,13.0
1,2018-09-16,2018-09-23,1.0,3.0,5.0,7.0,12.0
2,2018-09-16,2018-09-30,1.0,3.0,5.0,7.0,12.0
0,2018-10-07,2018-10-07,8.0,14.0,18.0,22.0,32.0
1,2018-10-07,2018-10-14,9.0,16.0,20.0,25.0,38.0
2,2018-10-07,2018-10-21,9.0,16.0,20.0,25.0,38.0
0,2018-10-28,2018-10-28,18.0,26.0,31.0,36.0,48.0
1,2018-10-28,2018-11-04,25.0,35.0,41.0,48.0,63.0
2,2018-10-28,2018-11-11,25.0,35.0,41.0,48.0,63.0
0,2018-11-25,2018-11-25,31.0,41.0,47.0,54.0,67.0
1,2018-11-25,2018-12-02,36.0,47.0,55.0,62.0,78.0
2,2018-11-25,2018-12-09,36.0,47.0,55.0,62.0,78.0
0,2018-12-16,2018-12-16,22.0,30.0,34.0,39.0,50.0
1,2018-12-16,2018-12-23,22.0,30.0,35.0,41.0,52.0
2,2018-12-16,2018-12-30,22.0,30.0,35.0,41.0,52.0
0,2019-01-06,2019-01-06,12.0,19.0,22.0,26.0,36.0
1,2019-01-06,2019-01-13,10.0,17.0,20.0,24.0,34.0
2,2019-01-06,2019-01-20,10.0,17.0,20.0,24.0,34.0
