,median,p2.5,p97.5,epicurve,loglk,AIC
delaymean,131.20338175016457,-5509.168939428962,5784.423031769376,2018-08-29,-45.20164550209926,94.40329100419852
delaysd,3132.2706418188964,-71579.81164633547,,2018-08-29,-45.20164550209926,94.40329100419852
delayCV,3.156459612559035,0.4016409830277241,,2018-08-29,-45.20164550209926,94.40329100419852
delaymean,13.090257360459438,-75.42232190332834,105.55649956831948,2018-09-02,-59.309440871389434,122.61888174277887
delaysd,42.32179801079806,-1568.724222209967,,2018-09-02,-59.309440871389434,122.61888174277887
delayCV,2.0197140001972897,0.563194312927672,,2018-09-02,-59.309440871389434,122.61888174277887
delaymean,6.132811614587588,4.623968899677538,7.674550579939664,2018-09-05,-81.48924353832022,166.97848707664045
delaysd,2.4028226209497645,1.6471978438271841,3.5767335534188103,2018-09-05,-81.48924353832022,166.97848707664045
delayCV,0.3914199351652148,0.30745923553863214,0.5449168243628782,2018-09-05,-81.48924353832022,166.97848707664045
delaymean,7.72409478779317,5.27633675512229,10.080196931592704,2018-09-09,-101.85485516005012,207.70971032010024
delaysd,3.4754149006940884,2.1645849494283547,6.089566013848208,2018-09-09,-101.85485516005012,207.70971032010024
delayCV,0.4516947703595515,0.33334240436178075,0.734822154364817,2018-09-09,-101.85485516005012,207.70971032010024
delaymean,8.155041407164507,5.6404582776520185,10.635738612900644,2018-09-12,-116.97257671123765,237.9451534224753
delaysd,4.0324445346434485,2.4534545097229254,7.251273346839237,2018-09-12,-116.97257671123765,237.9451534224753
delayCV,0.4948328027168425,0.35920669595510163,0.8377739195745991,2018-09-12,-116.97257671123765,237.9451534224753
delaymean,9.09002313678295,7.269566991228842,10.95498506734448,2018-09-16,-139.94347826796,283.88695653592
delaysd,5.266764891448192,3.848140422883076,7.395559933555032,2018-09-16,-139.94347826796,283.88695653592
delayCV,0.5797111999560992,0.4645027918178154,0.7770849288810593,2018-09-16,-139.94347826796,283.88695653592
delaymean,9.18530843566703,7.369419313692573,10.986081622066608,2018-09-18,-159.29625685837982,322.59251371675964
delaysd,5.639894121917768,4.178039633162868,7.837687868461226,2018-09-18,-159.29625685837982,322.59251371675964
delayCV,0.6131090905638352,0.49786367014734867,0.8150866748296525,2018-09-18,-159.29625685837982,322.59251371675964
delaymean,8.633071020928817,6.861375882675063,10.39708975886058,2018-09-20,-176.1890778057715,356.378155611543
delaysd,5.020456292287847,3.67752922772123,7.071039064837413,2018-09-20,-176.1890778057715,356.378155611543
delayCV,0.5800659315121997,0.4676363907609949,0.7834576788489566,2018-09-20,-176.1890778057715,356.378155611543
delaymean,9.280448296081284,7.644688737960677,10.890370681093176,2018-09-23,-203.35741333336847,410.71482666673694
