,RMSE_abs,RMSE_rel,avr_score__1,avr_score__2,log_score,avr_score,logp,AIC,AICc,bias,coverage__1,coverage__2
2018-09-16,6.324555320336759,0.5381347996789236,0.3714,0.11130000000000002,-1.5930008253820847,0.2033145838350019,-13.687188781262185,31.37437756252437,19.37437756252437,-0.49999999999999994,Yes,Yes
2018-10-07,10.700467279516348,0.18804790389189674,0.08779999999999999,0.1513,-2.160592218264447,0.1152568436145984,-10.271909524520822,24.543819049041645,12.543819049041645,-0.1505149978319906,Yes,Yes
2018-10-28,17.67766952966369,0.4670184844984416,0.2192,0.017199999999999997,-2.7903083095355035,0.061402280087957624,-28.475297235275157,60.950594470550314,48.950594470550314,-0.3912417004190024,Yes,Yes
2018-11-25,19.235384061671343,0.27060738649864,0.2262,0.04619999999999999,-2.2805555980972807,0.10222739358899842,-18.755958183051632,41.511916366103264,29.511916366103264,-0.11839454970464647,Yes,Yes
2018-12-16,14.866068747318506,0.2792976776795757,0.0056000000000000025,0.09869999999999998,-3.750329506891867,0.023509997873245342,-15.130509626133083,34.261019252266166,22.261019252266166,-0.27929714877343603,No,Yes
2019-01-06,15.620499351813308,0.24680203143043608,0.3297,0.04549999999999999,-2.099807540964842,0.12247999836708033,-15.28842889903644,34.57685779807288,22.57685779807288,-0.19314801375416496,Yes,Yes
