,RMSE_abs,RMSE_rel,avr_score__1,avr_score__2,log_score,avr_score,logp,AIC,AICc,bias,coverage__1,coverage__2
2018-09-16,6.96419413859206,0.7384507628438934,0.3346,0.0859,-1.7746954702106703,0.16953507011825017,-19.618660586861637,43.237321173723274,31.237321173723274,-0.6505149978319904,Yes,Yes
2018-10-07,16.688319268278637,0.3763189139350238,0.06169999999999999,0.083,-2.637193009628167,0.07156186135086202,-21.48826230653321,46.97652461306642,34.97652461306642,-0.3762985729556277,Yes,Yes
2018-10-28,17.67766952966369,0.4670184844984416,0.2217,0.0011999999999999995,-4.1159319422740275,0.016310732662881813,-28.475297235275157,60.950594470550314,48.950594470550314,-0.3912417004190024,Yes,No
2018-11-25,21.633307652783937,0.33146661006811523,0.29589999999999994,0.0011999999999999995,-3.971583720882078,0.018843566541395497,-24.569486050806972,53.138972101613945,41.138972101613945,-0.18086391800879642,Yes,No
2018-12-16,14.866068747318506,0.2792976776795757,0.005100000000000002,0.09369999999999999,-3.8230859144948086,0.02186023787610739,-15.130509626133083,34.261019252266166,22.261019252266166,-0.27929714877343603,No,Yes
2019-01-06,18.601075237738275,0.3276878635738322,0.278,0.04420000000000001,-2.1995823275949924,0.1108494474501339,-21.642925577083282,47.285851154166565,35.285851154166565,-0.26945309535724415,Yes,Yes
