,epicurve,date,p2.5,p25,p50,p75,p97.5
0,2018-09-16,2018-09-16,1.0,4.0,6.0,8.0,14.0
1,2018-09-16,2018-09-23,1.0,3.0,5.0,7.0,13.0
2,2018-09-16,2018-09-30,1.0,3.0,5.0,7.0,13.0
0,2018-10-07,2018-10-07,9.0,16.0,20.0,25.0,37.0
1,2018-10-07,2018-10-14,12.0,21.0,26.0,33.0,51.0
2,2018-10-07,2018-10-21,12.0,21.0,26.0,33.0,51.0
0,2018-10-28,2018-10-28,16.0,24.0,29.0,35.0,48.0
1,2018-10-28,2018-11-04,20.0,30.0,36.0,43.0,61.0
2,2018-10-28,2018-11-11,20.0,30.0,36.0,43.0,61.0
0,2018-11-25,2018-11-25,33.0,44.0,50.0,57.0,72.0
1,2018-11-25,2018-12-02,39.0,53.0,61.0,70.0,92.0
2,2018-11-25,2018-12-09,39.0,53.0,61.0,70.0,92.0
0,2018-12-16,2018-12-16,19.0,27.0,32.0,37.0,48.0
1,2018-12-16,2018-12-23,18.0,26.0,31.0,36.0,48.0
2,2018-12-16,2018-12-30,18.0,26.0,31.0,36.0,48.0
0,2019-01-06,2019-01-06,12.0,19.0,23.0,27.0,37.0
1,2019-01-06,2019-01-13,10.0,17.0,21.0,26.0,38.0
2,2019-01-06,2019-01-20,10.0,17.0,21.0,26.0,38.0
