,epicurve,date,p2.5,p25,p50,p75,p97.5
0,2018-09-16,2018-09-16,0.0,2.0,4.0,6.0,17.0
1,2018-09-16,2018-09-23,0.0,1.0,2.0,6.0,30.0
2,2018-09-16,2018-09-30,0.0,1.0,2.0,6.0,30.0
0,2018-10-07,2018-10-07,18.0,47.0,71.0,106.0,227.02499999999964
1,2018-10-07,2018-10-14,49.0,232.0,462.0,887.0,3343.0999999999985
2,2018-10-07,2018-10-21,49.0,232.0,462.0,887.0,3343.0999999999985
0,2018-10-28,2018-10-28,8.0,14.0,19.0,24.0,36.0
1,2018-10-28,2018-11-04,3.0,6.0,9.0,13.0,21.0
2,2018-10-28,2018-11-11,3.0,6.0,9.0,13.0,21.0
0,2018-11-25,2018-11-25,17.0,24.0,28.0,32.0,41.0
1,2018-11-25,2018-12-02,4.0,8.0,11.0,13.0,19.0
2,2018-11-25,2018-12-09,4.0,8.0,11.0,13.0,19.0
0,2018-12-16,2018-12-16,16.0,22.0,26.0,30.0,40.0
1,2018-12-16,2018-12-23,3.0,6.0,8.0,10.0,23.0
2,2018-12-16,2018-12-30,3.0,6.0,8.0,10.0,23.0
0,2019-01-06,2019-01-06,11.0,17.0,21.0,26.0,44.0
1,2019-01-06,2019-01-13,2.0,6.0,9.0,17.0,51.0
2,2019-01-06,2019-01-20,2.0,6.0,9.0,17.0,51.0
