,epicurve,date,p2.5,p25,p50,p75,p97.5
0,2018-09-16,2018-09-16,0.0,2.0,3.0,5.0,10.0
1,2018-09-16,2018-09-23,0.0,0.0,1.0,2.0,5.0
2,2018-09-16,2018-09-30,0.0,0.0,1.0,2.0,5.0
0,2018-10-07,2018-10-07,4.0,8.0,11.0,14.0,22.0
1,2018-10-07,2018-10-14,0.0,2.0,4.0,6.0,10.0
2,2018-10-07,2018-10-21,0.0,2.0,4.0,6.0,10.0
0,2018-10-28,2018-10-28,10.0,15.0,19.0,23.0,32.0
1,2018-10-28,2018-11-04,2.0,5.0,7.0,10.0,16.0
2,2018-10-28,2018-11-11,2.0,5.0,7.0,10.0,16.0
0,2018-11-25,2018-11-25,18.0,25.0,30.0,34.0,44.0
1,2018-11-25,2018-12-02,8.0,13.0,16.0,20.0,27.0
2,2018-11-25,2018-12-09,8.0,13.0,16.0,20.0,27.0
0,2018-12-16,2018-12-16,12.0,18.0,21.0,25.0,33.0
1,2018-12-16,2018-12-23,4.0,8.0,10.0,13.0,18.0
2,2018-12-16,2018-12-30,4.0,8.0,10.0,13.0,18.0
0,2019-01-06,2019-01-06,8.0,13.0,16.0,19.0,26.0
1,2019-01-06,2019-01-13,3.0,6.0,8.0,11.0,16.0
2,2019-01-06,2019-01-20,3.0,6.0,8.0,11.0,16.0
