,epicurve,date,p2.5,p25,p50,p75,p97.5
0,2018-09-16,2018-09-16,0.0,2.0,3.0,6.0,14.0
1,2018-09-16,2018-09-23,0.0,1.0,2.0,5.0,20.0
2,2018-09-16,2018-09-30,0.0,1.0,2.0,5.0,20.0
0,2018-10-07,2018-10-07,17.0,37.0,54.0,79.0,159.0
1,2018-10-07,2018-10-14,42.0,132.0,238.0,432.0,1388.074999999999
2,2018-10-07,2018-10-21,42.0,132.0,238.0,432.0,1388.074999999999
0,2018-10-28,2018-10-28,8.0,15.0,20.0,28.0,49.0
1,2018-10-28,2018-11-04,3.0,7.0,15.0,33.0,95.0
2,2018-10-28,2018-11-11,3.0,7.0,15.0,33.0,95.0
0,2018-11-25,2018-11-25,18.0,25.0,29.0,34.0,48.0
1,2018-11-25,2018-12-02,4.0,9.0,12.0,16.0,36.0
2,2018-11-25,2018-12-09,4.0,9.0,12.0,16.0,36.0
0,2018-12-16,2018-12-16,15.0,22.0,26.0,30.0,38.0
1,2018-12-16,2018-12-23,3.0,6.0,8.0,10.0,15.0
2,2018-12-16,2018-12-30,3.0,6.0,8.0,10.0,15.0
0,2019-01-06,2019-01-06,12.0,19.0,24.0,29.0,42.0
1,2019-01-06,2019-01-13,4.0,10.0,16.0,23.0,42.0
2,2019-01-06,2019-01-20,4.0,10.0,16.0,23.0,42.0
