,epicurve,date,p2.5,p25,p50,p75,p97.5
0,2018-09-16,2018-09-16,0.0,2.0,4.0,7.0,13.0
1,2018-09-16,2018-09-23,0.0,2.0,4.0,7.0,16.0
2,2018-09-16,2018-09-30,0.0,2.0,4.0,7.0,16.0
0,2018-10-07,2018-10-07,15.0,32.0,46.0,65.0,127.0
1,2018-10-07,2018-10-14,34.0,83.0,139.0,236.0,708.0
2,2018-10-07,2018-10-21,34.0,83.0,139.0,236.0,708.0
0,2018-10-28,2018-10-28,10.0,18.0,24.0,31.0,49.0
1,2018-10-28,2018-11-04,12.0,24.0,34.0,47.0,87.0
2,2018-10-28,2018-11-11,12.0,24.0,34.0,47.0,87.0
0,2018-11-25,2018-11-25,26.0,36.0,42.0,48.0,61.0
1,2018-11-25,2018-12-02,18.0,28.0,34.0,42.0,60.0
2,2018-11-25,2018-12-09,18.0,28.0,34.0,42.0,60.0
0,2018-12-16,2018-12-16,18.0,26.0,30.0,35.0,45.0
1,2018-12-16,2018-12-23,6.0,11.0,15.0,19.0,29.0
2,2018-12-16,2018-12-30,6.0,11.0,15.0,19.0,29.0
0,2019-01-06,2019-01-06,14.0,20.0,25.0,30.0,40.0
1,2019-01-06,2019-01-13,7.0,14.0,18.0,23.0,36.0
2,2019-01-06,2019-01-20,7.0,14.0,18.0,23.0,36.0
