,RMSE_abs,RMSE_rel,avr_score__1,avr_score__2,log_score,avr_score,logp,AIC,AICc,bias,coverage__1,coverage__2
2019-01-06,23.600847442411894,0.5405201814996009,0.3427,0.0,-inf,0.0,-42.61235888869745,93.2247177773949,79.89138444406157,-0.43170864111399615,Yes,No
2018-12-16,13.152946437965905,0.3023145035998175,0.0236,0.017699999999999994,-3.890349603176463,0.020438199529312754,-14.396101615311963,36.792203230623926,23.45886989729059,-0.28989179830840506,No,No
2018-11-25,24.9098374141623,0.4419143118048048,0.3712,0.0,-inf,0.0,-36.461213640798704,80.92242728159741,67.58909394826408,-0.2772091784463679,Yes,No
2018-10-28,16.55294535724685,0.3962331242196237,0.1963,0.0020000000000000005,-3.9213596380609568,0.019814136367755218,-23.090297711594225,54.18059542318845,40.847262089855114,-0.3484100136312298,Yes,No
2018-10-07,6.4031242374328485,0.144643635857196,0.163,0.1579,-1.8298992179479576,0.16042973539839803,-7.476706796849825,22.95341359369965,9.620080260366317,-0.10874197210695313,Yes,Yes
2018-09-16,7.280109889280518,0.7685861568079579,0.2545,0.012200000000000003,-2.887386885117243,0.05572162955262526,-20.920117166475883,49.840234332951766,36.50690099961843,-0.7129843661361405,Yes,No
