,epicurve,date,p2.5,p25,p50,p75,p97.5
0,2018-09-16,2018-09-16,1.0,3.0,5.0,7.0,12.024999999999636
1,2018-09-16,2018-09-23,1.0,3.0,5.0,7.0,13.0
2,2018-09-16,2018-09-30,1.0,3.0,5.0,7.0,13.0
0,2018-10-07,2018-10-07,14.0,27.0,37.0,53.0,97.0
1,2018-10-07,2018-10-14,22.0,42.0,63.0,94.0,221.02499999999964
2,2018-10-07,2018-10-21,22.0,42.0,63.0,94.0,221.02499999999964
0,2018-10-28,2018-10-28,14.0,22.0,27.0,33.0,48.0
1,2018-10-28,2018-11-04,28.0,40.0,47.0,56.0,78.0
2,2018-10-28,2018-11-11,28.0,40.0,47.0,56.0,78.0
0,2018-11-25,2018-11-25,32.0,42.0,48.0,54.0,67.0
1,2018-11-25,2018-12-02,29.0,40.0,46.0,52.0,67.0
2,2018-11-25,2018-12-09,29.0,40.0,46.0,52.0,67.0
0,2018-12-16,2018-12-16,26.0,34.0,39.0,45.0,56.0
1,2018-12-16,2018-12-23,20.0,27.0,32.0,37.0,48.0
2,2018-12-16,2018-12-30,20.0,27.0,32.0,37.0,48.0
0,2019-01-06,2019-01-06,14.0,21.0,25.0,30.0,39.0
1,2019-01-06,2019-01-13,9.0,15.0,19.0,23.0,32.0
2,2019-01-06,2019-01-20,9.0,15.0,19.0,23.0,32.0
