,epicurve,date,p2.5,p25,p50,p75,p97.5
0,2018-09-16,2018-09-16,1.0,3.0,5.0,7.0,14.0
1,2018-09-16,2018-09-23,0.0,2.0,4.0,6.0,13.0
2,2018-09-16,2018-09-30,0.0,2.0,4.0,6.0,13.0
0,2018-10-07,2018-10-07,8.0,15.0,20.0,25.0,39.0
1,2018-10-07,2018-10-14,9.0,18.0,25.0,34.0,60.0
2,2018-10-07,2018-10-21,9.0,18.0,25.0,34.0,60.0
0,2018-10-28,2018-10-28,12.0,20.0,24.0,30.0,44.0
1,2018-10-28,2018-11-04,8.0,16.0,22.0,29.0,49.0
2,2018-10-28,2018-11-11,8.0,16.0,22.0,29.0,49.0
0,2018-11-25,2018-11-25,27.0,38.0,44.0,51.0,67.0
1,2018-11-25,2018-12-02,25.0,37.0,46.0,55.0,78.0
2,2018-11-25,2018-12-09,25.0,37.0,46.0,55.0,78.0
0,2018-12-16,2018-12-16,15.0,22.0,26.0,30.0,41.0
1,2018-12-16,2018-12-23,8.0,15.0,18.0,23.0,34.0
2,2018-12-16,2018-12-30,8.0,15.0,18.0,23.0,34.0
0,2019-01-06,2019-01-06,11.0,18.0,22.0,27.0,38.0
1,2019-01-06,2019-01-13,9.0,16.0,20.0,26.0,40.0
2,2019-01-06,2019-01-20,9.0,16.0,20.0,26.0,40.0
