,epicurve,date,p2.5,p25,p50,p75,p97.5
0,2018-09-16,2018-09-16,1.0,3.0,5.0,7.0,13.0
1,2018-09-16,2018-09-23,1.0,4.0,6.0,8.0,14.0
2,2018-09-16,2018-09-30,1.0,4.0,6.0,8.0,14.0
0,2018-10-07,2018-10-07,14.0,28.0,39.0,54.0,101.0
1,2018-10-07,2018-10-14,26.0,51.0,73.0,112.0,275.0
2,2018-10-07,2018-10-21,26.0,51.0,73.0,112.0,275.0
0,2018-10-28,2018-10-28,12.0,20.0,25.0,31.0,46.0
1,2018-10-28,2018-11-04,21.0,32.0,39.0,48.0,70.0
2,2018-10-28,2018-11-11,21.0,32.0,39.0,48.0,70.0
0,2018-11-25,2018-11-25,31.0,42.0,47.0,54.0,67.0
1,2018-11-25,2018-12-02,29.0,40.0,46.0,53.0,67.0
2,2018-11-25,2018-12-09,29.0,40.0,46.0,53.0,67.0
0,2018-12-16,2018-12-16,26.0,35.0,40.0,46.0,57.0
1,2018-12-16,2018-12-23,20.0,28.0,33.0,38.0,49.0
2,2018-12-16,2018-12-30,20.0,28.0,33.0,38.0,49.0
0,2019-01-06,2019-01-06,14.0,21.0,25.0,30.0,39.024999999999636
1,2019-01-06,2019-01-13,9.0,15.0,19.0,23.0,33.0
2,2019-01-06,2019-01-20,9.0,15.0,19.0,23.0,33.0
